"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Apr 25 08:41:02 UTC 2026","Sat Apr 25 08:41:05 UTC 2026","2738","Surefire suite","Surefire test","com.restfulbooker.ests.Tests.BookTest","com.restfulbooker.ests.Tests.BookTest","getBookByIdTC","get book by id",""
"passed","Sat Apr 25 08:41:02 UTC 2026","Sat Apr 25 08:41:05 UTC 2026","2640","Surefire suite","Surefire test","com.restfulbooker.ests.Tests.BookTest","com.restfulbooker.ests.Tests.BookTest","CreateNewBookTC","create new book with valid data",""
"passed","Sat Apr 25 08:41:02 UTC 2026","Sat Apr 25 08:41:04 UTC 2026","2198","Surefire suite","Surefire test","com.restfulbooker.ests.Tests.UserTest","com.restfulbooker.ests.Tests.UserTest","validRegistrationTC","registration with valid data",""
"passed","Sat Apr 25 08:41:02 UTC 2026","Sat Apr 25 08:41:04 UTC 2026","2127","Surefire suite","Surefire test","com.restfulbooker.ests.Tests.BookTest","com.restfulbooker.ests.Tests.BookTest","inValidCreateNewBookTC","not able to create a new book with missing  data",""
"passed","Sat Apr 25 08:41:02 UTC 2026","Sat Apr 25 08:41:05 UTC 2026","2853","Surefire suite","Surefire test","com.restfulbooker.ests.Tests.BookTest","com.restfulbooker.ests.Tests.BookTest","getBookAfterDeletedTC","get book after deleted",""
"passed","Sat Apr 25 08:41:02 UTC 2026","Sat Apr 25 08:41:05 UTC 2026","2794","Surefire suite","Surefire test","com.restfulbooker.ests.Tests.BookTest","com.restfulbooker.ests.Tests.BookTest","deleteBookByIdTC","delete book by id",""
"passed","Sat Apr 25 08:41:02 UTC 2026","Sat Apr 25 08:41:04 UTC 2026","2205","Surefire suite","Surefire test","com.restfulbooker.ests.Tests.UserTest","com.restfulbooker.ests.Tests.UserTest","inValidRegistrationTC","registration with invalid data",""
"passed","Sat Apr 25 08:41:02 UTC 2026","Sat Apr 25 08:41:05 UTC 2026","2801","Surefire suite","Surefire test","com.restfulbooker.ests.Tests.BookTest","com.restfulbooker.ests.Tests.BookTest","updateBookByIdTC","update book by id",""
